item_id,item_name,group,created_at,updated_at,state,Name,Description,Niveau de risque,Risque principaux,Catégorie,Organisation coordinatrice,Compétences requises,Encadrement requis,EPI requis,Statut,Zone permise,Code tâche,Formation minimales,Contrôles / Méthodes,Exclusions,link to CNESST-Confirmité,link to Déploiements / Vagues,link to Sous-éléments de Déploiements / Vagues,link to Sous-éléments de Déploiements / Vagues,link to Déploiements / Vagues,link to Sous-éléments de Sinistres,Organisme
10891754527,CR- Aide préparation centres hébergement,Catalogue,2026-01-02T15:25:00Z,2026-02-20T11:02:35Z,active,,"Installation de lits de camps, tables, chaises et organisation d'espaces dans centre d'hébergement temporaire pour personnes sinistrées.",Faible,,Logistique,Croix-Rouge,"Organisation, TravailÉquipe, Communication",,"Veste réfléchissante RIUSC, Gants, Chaussures fermées confortables, Masque, Vêtements confortables",Actif,Froide,,Camp Qualification RIUSC,,,,,,,,,"Aide préparation centres hébergement → Croix-Rouge, Soutien besoins essentiels → Croix-Rouge, Soutien évacuations → Croix-Rouge, Réconfort et soutien moral → Croix-Rouge, Suivi clientèles vulnérables → Croix-Rouge, Protection infrastructures (digues) → SOPFEU, Gestion débris → SOPFEU, Reconnaissance territoire → SOPFEU, Coordination opérations → Les deux"
10891754528,CR - Soutien besoins essentiels,Catalogue,2026-01-02T15:25:00Z,2026-01-14T19:38:17Z,active,,"Distribution d'eau, nourriture, vêtements, articles d'hygiène aux personnes sinistrées dans centres d'hébergement ou points de distribution.",Faible,,Bien-être Citoyens,Croix-Rouge,"Empathie, Communication, GestionStress",,"Veste réfléchissante, Masque (si requis)",Actif,Froide,,"Camp Qualification RIUSC, Hygiène et salubrité alimentaire (base), Sensibilisation allergies alimentaires, Communication empathique et bienveillante",,,,,,,,,
10891754529,CR - Soutien évacuations,Catalogue,2026-01-02T15:25:00Z,2026-01-13T16:21:31Z,active,,"Assistance aux personnes évacuées lors de sinistres, incluant porte-à-porte, aide aux personnes vulnérables et support au transport.",Moyen,,Sécurité,Croix-Rouge,"GestionStress, PermisConduire, PremiersSoins, Communication",,"Veste / Dossard haute visibilité RIUSC avec identification, Gants, Bottes de sécurité, Masque, Casque, Lampe Frontale, Vêtements adaptés",Actif,Froide,,"Camp Qualification RIUSC, Premiers secours, Premiers secours psychologiques",,,,,,,,,
10891754728,CR - Réconfort et soutien moral,Catalogue,2026-01-02T15:25:00Z,2026-01-14T19:49:46Z,active,,"Présence rassurante, écoute active et conversation avec personnes sinistrées en détresse dans centres d'hébergement.",Faible,,Bien-être Citoyens,Croix-Rouge,"Empathie, ÉcouteActive, Communication, GestionÉmotions",,Veste réfléchissante,Actif,Froide,,"Camp Qualification RIUSC, Premiers secours psychologiques, Communication empathique et bienveillante",,,,,,,,,
10891754729,CR - Suivi clientèles vulnérables,Catalogue,2026-01-02T15:25:00Z,2026-01-14T20:02:55Z,active,,"Vérification régulière auprès des personnes vulnérables (aînés, mobilité réduite, conditions médicales) dans centres hébergement pour s'assurer besoins satisfaits.",Faible,,Bien-être Citoyens,Croix-Rouge,"Empathie, Communication, Patience, PremiersSoins",,"Veste réfléchissante, Masque (si requis)",Actif,Froide,,"Camp Qualification RIUSC, Premiers secours psychologiques",,,,,,,,,
10891754730,SP- Protection infrastructures (digues),Catalogue,2026-01-02T15:25:00Z,2026-01-13T15:34:32Z,active,,Installation de sacs de sable pour renforcer des berges et digues en zone froide sécurisée lors d'inondations.,Très Élevé,,Construction,SOPFEU,"ForcePhysique, TravailÉquipe, Endurance",,"Casque, Bottes imperméables, Gants renforcés, Veste réfléchissante, Harnais (si requis)",Actif,Froide,,Camp Qualification RIUSC,,,,,,,,,
10891754731,SP - Gestion débris,Catalogue,2026-01-02T15:25:00Z,2026-01-13T15:53:14Z,active,,"Tri, ramassage et chargement de débris en zone sécurisée suite à un sinistre (inondation, feu, tempête).",Moyen,,Nettoyage,SOPFEU,"ForcePhysique, Vigilance, TravailÉquipe",,"Casque, Gants renforcés, Bottes de sécurité, Lunettes de protection, Masque N95, Vêtements longs et couvrants, Protection auditive (Si machinerie)",Actif,Froide,,"Camp Qualification RIUSC, Formation identification matière dangereuses",,,,,,,,,
10891754732,SP - Soutien logistique SOPFEU,Catalogue,2026-01-02T15:25:00Z,2026-01-14T20:11:33Z,active,,"Support aux opérations SOPFEU incluant transport de matériel, installation d'équipement, ravitaillement et tâches logistiques diverses en zone froide.",Faible,,Logistique,SOPFEU,"Organisation, Communication, GestionInventaire, PermisConduire",,"Veste réfléchissante, Casque de construction, Gants renforcés. Bottes de sécurité, Lunettes de protection, Protection auditive",Actif,Froide,,"Camp Qualification RIUSC, Utilisation radio VHF",,,,,,,,,
10891754733,Reconnaissance territoire,Catalogue,2026-01-02T15:25:00Z,2026-01-13T16:06:15Z,active,,Inspection visuelle EXTÉRIEURE de bâtiments et infrastructures en zone froide pour documenter dommages par photos / vidéos et observation..,Moyen,,Sécurité,SOPFEU,"Observation, Documentation, Communication, GPS-Cartographie, PermisConduire",,"Bottes de randonnée, Gants de travail, Veste haute visibilité, Casque (Si proximité structures), Lunettes de soleil, Lampe frontale, Vêtement adaptés, Chasse-moustiques",Actif,Froide,,"Camp Qualification RIUSC, Formation GPS et Radio",,,,,,,,,
10891754734,Coordination opérations,Catalogue,2026-01-02T15:25:01Z,2026-01-14T19:08:59Z,active,,"Support à la coordination logistique des opérations RIUSC, incluant communications radio, suivi déploiement des équipes et liaison avec coordonnateur SOPFEU.",Faible,,Logistique,SOPFEU,"Leadership, Communication, Organisation, GestionStress, Informatique",,"Veste réfléchissante, Casque (Si déplacement zone avec activités), Bottes de Sécurité (si déplacements terrain), Protection auditive (si environnement bruyant),",Actif,Froide,,"Camp Qualification RIUSC, ICS-100, ICS-200, ICS 300",,,,,,,,,
10988068435,SP - Dégagement d'Accès par Ébranchage,Catalogue,2026-01-13T15:35:25Z,2026-02-20T11:01:36Z,active,,Couper branches et arbres tombés AU SOL bloquant chemins / routes pour dégager accès véhicules d'urgence en zone froide sécurisée.,Élevé,,,,,,"Casques forestier avec visière grillagée et protection auditive intégrée, Pantalon anti - coupure (ISO 11393), Bottes forestières avec protection anti - coupure - Veste haute visibilité, Lunettes de sécurité (protection latérale), Trousse premiers secours accessible",,,,"Camp Qualification RIUSC, Certification Utilisation Scie Mécanique",,,,,,,,,
